strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,turnover,annualized_turnover,average_holding_time_days,seed
buy_hold,1.0581267313178555,0.1019848892724484,0.1686839845515771,0.6045914171612738,0.6852637390981529,0.299034294527051,-0.3410474689324395,,,,42
momentum_126,0.4910547158332117,0.0552185952889581,0.1168769243212919,0.4724507905184388,0.4865381413982328,0.2539162490620292,-0.2174677496731166,,,,42
rl_only_stitched,0.0915510026759087,0.0118556891378687,0.165024190286417,0.071842128825428,0.0850529872515191,0.0370715259627913,-0.3198058032401545,371.77884113747393,50.02043137567722,9.146739130434783,42
buy_hold,1.0581267313178555,0.1019848892724484,0.1686839845515771,0.6045914171612738,0.6852637390981529,0.299034294527051,-0.3410474689324395,,,,52
momentum_126,0.4910547158332117,0.0552185952889581,0.1168769243212919,0.4724507905184388,0.4865381413982328,0.2539162490620292,-0.2174677496731166,,,,52
rl_only_stitched,0.623843612852145,0.0674003884514735,0.1624582119047979,0.4148783103126287,0.5492352618704034,0.2918386922934524,-0.2309508308230098,124.78449762317555,16.78894468822223,27.873015873015873,52
buy_hold,1.0581267313178555,0.1019848892724484,0.1686839845515771,0.6045914171612738,0.6852637390981529,0.299034294527051,-0.3410474689324395,,,,63
momentum_126,0.4910547158332117,0.0552185952889581,0.1168769243212919,0.4724507905184388,0.4865381413982328,0.2539162490620292,-0.2174677496731166,,,,63
rl_only_stitched,0.3491682531370432,0.0411170332375077,0.1652502634790836,0.2488167484387221,0.3071474743207388,0.1693576897430609,-0.2427822043385684,128.74587088006874,17.321921762828254,27.107692307692307,63
buy_hold,1.0581267313178555,0.1019848892724484,0.1686839845515771,0.6045914171612738,0.6852637390981529,0.299034294527051,-0.3410474689324395,,,,69
momentum_126,0.4910547158332117,0.0552185952889581,0.1168769243212919,0.4724507905184388,0.4865381413982328,0.2539162490620292,-0.2174677496731166,,,,69
rl_only_stitched,0.6236321471621264,0.0673816854931086,0.161626761860036,0.4168968351383489,0.5037091519701441,0.2661656511690224,-0.2531569539388816,111.03287533834892,14.938753115463925,30.86206896551724,69
buy_hold,1.0581267313178555,0.1019848892724484,0.1686839845515771,0.6045914171612738,0.6852637390981529,0.299034294527051,-0.3410474689324395,,,,81
momentum_126,0.4910547158332117,0.0552185952889581,0.1168769243212919,0.4724507905184388,0.4865381413982328,0.2539162490620292,-0.2174677496731166,,,,81
rl_only_stitched,0.4506857810806726,0.0513290060398359,0.1645919050862689,0.3118561998108741,0.376893036205743,0.2033065102968907,-0.2524710397364039,176.57544582801918,23.75708080547829,20.079545454545453,81
