fold,state_id,occupancy_viterbi,occupancy_posterior,mean_return,mean_vol,var_return,var_vol,expected_duration
fold1,0,0.18412698412698414,0.18492212499193716,0.001152058976811737,0.005563412209315903,3.32900913903643e-05,1.1810719871918758e-06,29.00787643250775
fold1,1,0.31587301587301586,0.3154560190472884,0.0008317043030668731,0.015663169017907954,0.00023579504672977512,6.0698714019284566e-06,32.76550218499269
fold1,2,0.12777777777777777,0.12909679948216154,-0.00186604065715301,0.033272889586889176,0.0012184270723868832,0.0001324278979803397,53.990217758239936
fold1,3,0.37222222222222223,0.3705250564786115,-0.0006664173819558225,0.00998207837659092,0.00010806222579240299,1.8557337097216715e-06,27.439025263021737
fold2,0,0.2652899126290707,0.26664716783209835,0.000816989982464589,0.00639730115557812,4.6367981398284855e-05,1.4654358287388202e-06,41.247196723403306
fold2,1,0.12629070691024621,0.12744175886589082,-0.0019273243838879353,0.033446968710145165,0.001228285739975993,0.00013200640472795056,53.25817464684621
fold2,2,0.26052422557585386,0.2563063253160578,0.0006687788535334401,0.016082594571565828,0.0002508609552029503,6.404276797290109e-06,34.0553753932712
fold2,3,0.34789515488482925,0.34960474798595104,-0.00022352957559965071,0.010347943786610138,0.0001085033177976331,1.5512633441684152e-06,28.260622034036935
fold3,0,0.1971383147853736,0.19653416106247534,-0.00014827562502640543,0.020755424009139524,0.0004385584911248807,1.8209132861872472e-05,82.11295316488403
fold3,1,0.1971383147853736,0.19750943035554958,0.001376477285550519,0.011956233075115997,0.0001291153564733608,1.8297728151428197e-06,22.04471723084288
fold3,2,0.34578696343402227,0.3460750585359324,0.0007682202504028715,0.005941736648870094,3.9101573557504866e-05,9.775082576236373e-07,34.11471273093785
fold3,3,0.2599364069952305,0.2598813500460414,0.0005548346790598562,0.008926378955663656,8.031198951953338e-05,6.388179316479456e-07,14.862945753291484
fold4,0,0.3235294117647059,0.3167798503125048,0.0005227169643661297,0.006958808109139839,5.542201020536864e-05,5.727210781752479e-07,11.89576364158069
fold4,1,0.31001589825119236,0.31299941676374693,0.0007977096789127219,0.01005460113847428,9.363666987959985e-05,1.497860948047306e-06,23.96930058061768
fold4,2,0.13036565977742448,0.12982819572817558,-0.00024124577115854009,0.018737284185745898,0.0003610697999121728,1.7842214044449465e-05,79.53594111707851
fold4,3,0.23608903020667726,0.24039253719557108,0.0007626276329888085,0.0048473533540317445,2.679799385576691e-05,6.154218448854968e-07,16.643130205315725
fold5,0,0.2933227344992051,0.29281634159293707,0.00010323739332260756,0.006704098405438326,5.009175680477188e-05,3.412549031143678e-07,9.942188430598206
fold5,1,0.22575516693163752,0.22691369705141268,0.0004526391150414727,0.004864505433901329,2.8238806070814073e-05,6.123728163909485e-07,14.713112393573557
fold5,2,0.10651828298887123,0.10764502946931763,-0.00021029482141991156,0.01916657581733231,0.0003855665212872467,2.0352793663396665e-05,66.64077513679729
fold5,3,0.3744038155802862,0.37262493188633455,0.0009533372393688392,0.009501593413124244,8.321271840146455e-05,1.4030625305052e-06,24.668035190602154
fold6,0,0.2082670906200318,0.21117013773648996,0.00030192135304279956,0.004575331215358762,2.3233061025278905e-05,5.550281190012335e-07,14.602431354047546
fold6,1,0.17090620031796502,0.1728199979492673,0.0006227101628079049,0.01235391991325904,0.00015016226428984372,6.0041161022393995e-06,23.821267039508825
fold6,2,0.29252782193958665,0.28971798854811054,0.0008938127063710228,0.008590789958344204,6.510207047773378e-05,6.749375657410357e-07,14.964290533528125
fold6,3,0.32829888712241656,0.3262918757661334,0.00033823431502248875,0.006383324554427665,4.673576464094308e-05,2.828117995882117e-07,11.787199424576135
fold7,0,0.17394757744241462,0.17187436749008017,0.0006665249181207029,0.012071497819369994,0.00014879174860550095,6.9315259653172804e-06,28.876278689778438
fold7,1,0.29706115965051627,0.294730777117704,0.00020985283470333971,0.006199795938018974,4.44796714307951e-05,3.059227317238456e-07,13.980218393020657
fold7,2,0.18903891977760126,0.1931012392636137,0.001018636194868167,0.0083015275828137,5.6674060407905837e-05,4.6186496756767666e-07,12.76130802718953
fold7,3,0.3399523431294678,0.3402936161286009,0.0006034578166690994,0.0041951728532154346,1.8084316514808573e-05,6.132367571840572e-07,32.59735943235558
fold8,0,0.3672496025437202,0.3687157424415263,0.0008081550874468479,0.004169589323968777,1.7533090503886703e-05,5.825566290203869e-07,39.00360270125643
fold8,1,0.18282988871224165,0.1837905391456393,0.0005632439158699782,0.00876663260429792,6.815250591276517e-05,1.0015335489077131e-06,15.816337527094923
fold8,2,0.19236883942766295,0.19406312223644173,-0.0005693742787177916,0.01348181584129686,0.00020071922034692617,6.3013118186161254e-06,33.90718616464201
fold8,3,0.2575516693163752,0.25343059617639285,0.00011125359251599044,0.006264865720540567,4.335123214742692e-05,2.981038262429899e-07,15.472590059412946
