run_dir,k,horizon,val_coverage_weighted,val_event_count_total,val_dir_mae_weighted,val_dir_acc_weighted,val_majority_acc_weighted,val_acc_minus_majority_weighted,test_coverage_weighted,test_event_count_total,test_dir_mae_weighted,test_dir_acc_weighted,test_majority_acc_weighted,test_acc_minus_majority_weighted,test_reg_acc_weighted,eligible,rank
data/transformer_npy/event_grid/k0.25_h10,0.25,10,0.9028077753779697,1672.0,0.41866028708133973,0.5813397129186603,0.6656698564593302,-0.08433014354066984,0.9037339556592765,1549.0,0.4880568108457069,0.511943189154293,0.670755326016785,-0.1588121368624919,0.8261376896149358,False,
data/transformer_npy/event_grid/k0.25_h20,0.25,20,0.8806695464362851,1631.0,0.3911710606989577,0.6088289393010423,0.7032495401594114,-0.09442060085836906,0.8751458576429405,1500.0,0.4666666666666667,0.5333333333333333,0.71,-0.17666666666666664,0.8203033838973163,False,
data/transformer_npy/event_grid/k0.25_h5,0.25,5,0.8930885529157667,1654.0,0.4486094316807739,0.5513905683192262,0.6336154776299879,-0.08222490931076178,0.8891481913652275,1524.0,0.46194225721784776,0.5380577427821522,0.639763779527559,-0.1017060367454068,0.8570595099183197,False,
data/transformer_npy/event_grid/k0.50_h10,0.5,10,0.8434125269978402,1562.0,0.39884763124199746,0.6011523687580026,0.6709346991037132,-0.0697823303457106,0.8459743290548425,1450.0,0.4606896551724138,0.5393103448275862,0.6744827586206896,-0.13517241379310344,0.8407234539089848,False,
data/transformer_npy/event_grid/k0.50_h20,0.5,20,0.8504319654427646,1575.0,0.3942857142857143,0.6057142857142858,0.7111111111111111,-0.10539682539682543,0.8448074679113186,1448.0,0.4861878453038674,0.5138121546961326,0.7175414364640884,-0.2037292817679558,0.8121353558926487,False,
data/transformer_npy/event_grid/k0.50_h5,0.5,5,0.8110151187904968,1502.0,0.44806924101198403,0.551930758988016,0.6418109187749668,-0.08988015978695071,0.8074679113185531,1384.0,0.4653179190751445,0.5346820809248555,0.6473988439306358,-0.1127167630057803,0.8564760793465578,False,
data/transformer_npy/event_grid/k0.75_h10,0.75,10,0.769438444924406,1425.0,0.39017543859649123,0.6098245614035088,0.6785964912280702,-0.06877192982456137,0.7718786464410735,1323.0,0.4656084656084656,0.5343915343915344,0.6825396825396826,-0.14814814814814814,0.8401400233372228,False,
data/transformer_npy/event_grid/k0.75_h20,0.75,20,0.8137149028077754,1507.0,0.36496350364963503,0.635036496350365,0.7173191771731918,-0.0822826808228268,0.808051341890315,1385.0,0.4750902527075812,0.5249097472924188,0.7227436823104693,-0.19783393501805055,0.8057176196032673,False,
data/transformer_npy/event_grid/k0.75_h5,0.75,5,0.7208423326133909,1335.0,0.43595505617977526,0.5640449438202247,0.650187265917603,-0.08614232209737824,0.7182030338389732,1231.0,0.4662875710804224,0.5337124289195776,0.6555645816409423,-0.12185215272136475,0.8483080513418904,False,
