run_dir,k,horizon,val_coverage_weighted,val_event_count_total,val_dir_mae_weighted,val_dir_acc_weighted,val_majority_acc_weighted,val_acc_minus_majority_weighted,test_coverage_weighted,test_event_count_total,test_dir_mae_weighted,test_dir_acc_weighted,test_majority_acc_weighted,test_acc_minus_majority_weighted,test_reg_acc_weighted,val_up_rate,eligible,candidate,rank,candidate_rank
data/transformer_npy/event_grid_hscaled/k1.00_h6,1.0,6,0.2937365010799136,544.0,0.40808823529411764,0.5919117647058824,0.6213235294117647,-0.029411764705882304,0.2911318553092182,499.0,0.45691382765531063,0.5430861723446894,0.6352705410821643,-0.09218436873747493,0.6668611435239207,0.6102941176470589,False,False,,
data/transformer_npy/event_grid_hscaled/k1.00_h7,1.0,7,0.2964362850971922,549.0,0.4007285974499089,0.599271402550091,0.6302367941712204,-0.0309653916211293,0.29929988331388563,513.0,0.4619883040935672,0.5380116959064327,0.6393762183235867,-0.10136452241715396,0.6557759626604434,0.6065573770491803,False,False,,
data/transformer_npy/event_grid_hscaled/k1.00_h8,1.0,8,0.2861771058315335,530.0,0.39622641509433965,0.6037735849056604,0.6490566037735849,-0.045283018867924525,0.2899649941656942,497.0,0.4909456740442656,0.5090543259557344,0.6639839034205232,-0.1549295774647887,0.661610268378063,0.6150943396226415,False,False,,
data/transformer_npy/event_grid_hscaled/k1.25_h6,1.25,6,0.1981641468682505,367.0,0.41689373297002724,0.5831062670299727,0.6185286103542235,-0.03542234332425064,0.19661610268378057,337.0,0.4421364985163205,0.5578635014836796,0.6439169139465876,-0.08605341246290799,0.6668611435239207,0.5831062670299727,False,False,,
data/transformer_npy/event_grid_hscaled/k1.25_h7,1.25,7,0.19978401727861764,370.0,0.4540540540540541,0.5459459459459459,0.6270270270270271,-0.08108108108108103,0.2024504084014002,347.0,0.49855907780979825,0.5014409221902018,0.6455331412103746,-0.14409221902017286,0.6435239206534422,0.5702702702702702,False,False,,
data/transformer_npy/event_grid_hscaled/k1.25_h8,1.25,8,0.19924406047516197,369.0,0.3821138211382114,0.6178861788617886,0.6504065040650406,-0.032520325203252036,0.20886814469078174,358.0,0.5167597765363129,0.48324022346368717,0.6675977653631285,-0.18435754189944134,0.6359393232205367,0.5907859078590786,False,False,,
data/transformer_npy/event_grid_hscaled/k1.50_h6,1.5,6,0.1301295896328293,241.0,0.4066390041493776,0.5933609958506224,0.6058091286307054,-0.012448132780083002,0.1330221703617269,228.0,0.5219298245614035,0.4780701754385965,0.6359649122807017,-0.15789473684210525,0.6289381563593932,0.5145228215767634,False,False,,
data/transformer_npy/event_grid_hscaled/k1.50_h7,1.5,7,0.12796976241900643,237.0,0.35864978902953587,0.6413502109704642,0.6413502109704642,-7.495176537553799e-18,0.13360560093348886,229.0,0.5021834061135371,0.4978165938864629,0.6724890829694323,-0.17467248908296945,0.6306884480746792,0.5189873417721519,False,False,,
data/transformer_npy/event_grid_hscaled/k1.50_h8,1.5,8,0.12796976241900646,237.0,0.35864978902953587,0.6413502109704642,0.6455696202531646,-0.004219409282700415,0.1347724620770128,231.0,0.5194805194805194,0.4805194805194805,0.6796536796536796,-0.1991341991341991,0.6271878646441074,0.510548523206751,False,False,,
