variant,fold,num_samples,dir_mae,reg_mae
gating,fold1,232,0.5818965517241379,0.02586206896551724
gating,fold2,232,0.46120689655172414,0.02586206896551724
gating,fold3,232,0.5258620689655172,0.02586206896551724
gating,fold4,232,0.5129310344827587,0.14224137931034483
gating,fold5,231,0.3203463203463203,0.0
gating,fold6,231,0.4588744588744589,0.06493506493506493
gating,fold7,232,0.6637931034482759,0.20689655172413793
gating,fold8,92,0.5,0.021739130434782608
no_gating,fold1,232,0.6336206896551724,0.03879310344827586
no_gating,fold2,232,0.3922413793103448,0.03879310344827586
no_gating,fold3,232,0.4956896551724138,0.08189655172413793
no_gating,fold4,232,0.4698275862068966,0.12931034482758622
no_gating,fold5,231,0.6796536796536796,0.004329004329004329
no_gating,fold6,231,0.4935064935064935,0.03463203463203463
no_gating,fold7,232,0.49137931034482757,0.09913793103448276
no_gating,fold8,92,0.45652173913043476,0.03260869565217391
no_sentiment,fold1,232,0.5732758620689655,0.02586206896551724
no_sentiment,fold2,232,0.46120689655172414,0.02586206896551724
no_sentiment,fold3,232,0.5043103448275862,0.04741379310344827
no_sentiment,fold4,232,0.5172413793103449,0.1336206896551724
no_sentiment,fold5,231,0.3203463203463203,0.0
no_sentiment,fold6,231,0.45021645021645024,0.05627705627705628
no_sentiment,fold7,232,0.6551724137931034,0.1939655172413793
no_sentiment,fold8,92,0.5434782608695652,0.0
